Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Ghulam Abbas,M,24.0,181.0,74.0,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,
Maher Abbas,M,22.0,178.0,78.0,Lebanon,LIB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,
Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
Omari Abdallah,M,29.0,168.0,57.0,Tanzania,TAN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,KUW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
Mahmoud Atter Abdel Fattah,M,,,,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,
Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SUD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,
Ibrahim Saad Abdel Galil,M,,176.0,73.0,Sudan,SUD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,
Moustafa Mounib Abdel Kader,M,,176.0,67.0,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,
Moustafa Abdel Naser,M,21.0,176.0,74.0,Libya,LBA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,
Hassane Abdou,M,23.0,185.0,67.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,
Brahim Daoud Abdoulaye,M,25.0,,71.0,Chad,CHA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,
Mehdi Fahim Abdul Al-Sada,M,24.0,184.0,70.0,Iraq,IRQ,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,
S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 110 metres Hurdles,
S. Abdul Hamid,M,,,,India,IND,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,
Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
Masoud Abdul Khamis Al-Rahman,M,17.0,176.0,68.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,
Zambrose Abdul Rahman,M,24.0,173.0,64.0,Malaysia,MAS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,
A. Abdul Razzak,M,,178.0,70.0,Iraq,IRQ,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Long Jump,
"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,
"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,
"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
Mohamed Samy Abdullah,M,,165.0,65.0,United Arab Emirates,UAE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19.0,181.0,66.0,Kuwait,KUW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,
Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,23.0,181.0,66.0,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,
Naoki Abe,M,23.0,173.0,68.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
Naoki Abe,M,23.0,173.0,68.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,
Nils Georg berg,M,19.0,181.0,78.0,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
Pasqualino Abeti,M,24.0,173.0,66.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,
Mitsuhiro Abiko,M,19.0,169.0,62.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,
"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Abdul Razzak Aboobakur,M,25.0,168.0,59.0,Maldives,MDV,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,
Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,
Zaid Abou Hamed,M,30.0,182.0,79.0,Syria,SYR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,
Adeola Aboyade-Cole,M,22.0,193.0,78.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,
Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,
Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,
Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,
Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,
Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,
Harold Maurice Abrahams,M,24.0,183.0,75.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Sidney Solomon Abrahams,M,21.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,
Sidney Solomon Abrahams,M,21.0,,,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's Long Jump,
Sidney Solomon Abrahams,M,27.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,
Erik Adolf Efraim Abrahamsson,M,22.0,172.0,61.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
Antnio da Cunha Meneses Martins Abrantes,M,20.0,176.0,68.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
Arnaldo Lus Isaas Abrantes,M,21.0,183.0,72.0,Portugal,POR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,
Arnaldo Lus Isaas Abrantes,M,25.0,183.0,72.0,Portugal,POR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,
Arnaldo Joaquim Castro Abrantes,M,26.0,174.0,68.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Mohamed Abu Abdullah,M,27.0,173.0,74.0,Bangladesh,BAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
Nagmeldin Ali Abubakr,M,18.0,172.0,63.0,Sudan,SUD,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,
Nagmeldin Ali Abubakr,M,22.0,172.0,63.0,Sudan,SUD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,
Mohammed Abukhousa,M,23.0,170.0,67.0,Palestine,PLE,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
E. Doan Acarbay,M,21.0,,,Turkey,TUR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,
E. Doan Acarbay,M,21.0,,,Turkey,TUR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
E. Doan Acarbay,M,25.0,,,Turkey,TUR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,
E. Doan Acarbay,M,25.0,,,Turkey,TUR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres Hurdles,
Raidel Acea Morales,M,21.0,,,Cuba,CUB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Marco Acerbi,M,23.0,190.0,74.0,Italy,ITA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,
Fernando Acevedo Portugues,M,22.0,175.0,65.0,Peru,PER,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,
Fernando Acevedo Portugues,M,26.0,175.0,65.0,Peru,PER,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,
Jos Eduardo Acevedo Herrera,M,22.0,179.0,65.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,
Georg Ackermann,M,24.0,191.0,75.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
Urban Acman,M,24.0,180.0,83.0,Slovenia,SLO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,
Mariano Acosta,M,22.0,,,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,
Mariano Acosta,M,22.0,,,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
George Wilson Acquaah,M,26.0,,,Ghana,GHA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,
George Wilson Acquaah,M,26.0,,,Ghana,GHA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,
Herman Adam Negrete,M,23.0,180.0,71.0,Mexico,MEX,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Idrissa Adam,M,27.0,178.0,79.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,
Joseph Adam,M,27.0,172.0,70.0,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,
Marcus Adam,M,24.0,182.0,82.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,
Marcus Adam,M,24.0,182.0,82.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,
Marcus Adam,M,24.0,182.0,82.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
Edward Adamczyk,M,26.0,190.0,83.0,Poland,POL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,
Zoltn Adamik,M,23.0,175.0,71.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,
Antoine Xavier Adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
Antoine Xavier Adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
"Francis ""Frank"" Adams",M,22.0,169.0,68.0,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,
"Francis ""Frank"" Adams",M,26.0,169.0,68.0,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 200 metres,
Ralph Andrew Adams,M,20.0,170.0,56.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,
Ebenezer Charles O. Addy,M,23.0,178.0,70.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
James Aryee Addy,M,20.0,183.0,75.0,Ghana,GHA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,
James Aryee Addy,M,24.0,183.0,75.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,
James Aryee Addy,M,24.0,183.0,75.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,
James Aryee Addy,M,28.0,183.0,75.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,
James Aryee Addy,M,28.0,183.0,75.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
James Aryee Addy,M,32.0,183.0,75.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,
James Aryee Addy,M,32.0,183.0,75.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,
Adegboyega Folaranmi Adedoyin,M,25.0,,,Great Britain,GBR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
Lawrence Adegbeingbe,M,27.0,181.0,66.0,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,
"Stephen Adebisi Gbadegesin ""Steve"" Adegbite",M,24.0,186.0,77.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,
Andr Adelheim,M,22.0,177.0,70.0,France,FRA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 400 metres Hurdles,
Andr Adelheim,M,26.0,177.0,70.0,France,FRA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,
Olapade Charles Adeniken,M,19.0,186.0,78.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
Olapade Charles Adeniken,M,19.0,186.0,78.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,
Olapade Charles Adeniken,M,19.0,186.0,78.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Olapade Charles Adeniken,M,22.0,186.0,78.0,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,
Olapade Charles Adeniken,M,22.0,186.0,78.0,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,
Olapade Charles Adeniken,M,22.0,186.0,78.0,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Olapade Charles Adeniken,M,26.0,186.0,78.0,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Isiaq Adeyanju,M,24.0,162.0,65.0,Nigeria,NGR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,
Isiaq Adeyanju,M,28.0,162.0,65.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
Isiaq Adeyanju,M,28.0,162.0,65.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,
Isiaq Adeyanju,M,28.0,162.0,65.0,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Hammed Adio,M,21.0,185.0,63.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
Hammed Adio,M,21.0,185.0,63.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,
Hammed Adio,M,21.0,185.0,63.0,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,
Derrick Ralph Adkins,M,26.0,188.0,80.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
Gadi Ado,M,20.0,173.0,61.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,
Gadi Ado,M,20.0,173.0,61.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,
Christopher Silas Adolf,M,24.0,168.0,59.0,Palau,PLW,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,
Daniel Adomako,M,20.0,170.0,69.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,
Martin Natchaba Adouna,M,28.0,167.0,68.0,Togo,TOG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
Lon Joseph Aelter (-Freddy),M,22.0,,,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,
Lon Joseph Aelter (-Freddy),M,22.0,,,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,
Muhammad Afzal,M,21.0,184.0,69.0,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
Muhammad Afzal,M,21.0,184.0,69.0,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,
Muhammad Afzal,M,21.0,184.0,69.0,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
Gladstone Agbamu,M,27.0,179.0,74.0,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,
Pedro Emanuel Costa Agostinho,M,23.0,174.0,64.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,
Pedro Emanuel Costa Agostinho,M,23.0,174.0,64.0,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,
Pedro Emanuel Costa Agostinho,M,27.0,174.0,64.0,Portugal,POR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,
"Michael George Raymond ""Mike"" Agostini",M,21.0,171.0,66.0,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,
"Michael George Raymond ""Mike"" Agostini",M,21.0,171.0,66.0,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 200 metres,
Eric Agueh,M,24.0,180.0,72.0,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,
Eric Agueh,M,24.0,180.0,72.0,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Alberto Martn Aguilar Surez,M,27.0,194.0,80.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,
Florencio Aguilar Mejia,M,24.0,168.0,62.0,Panama,PAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,
Florencio Aguilar Mejia,M,32.0,168.0,62.0,Panama,PAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,
Mariano I. Aguilar,M,,,,Mexico,MEX,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,
Mariano I. Aguilar,M,,,,Mexico,MEX,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,
Michael Aguilar,M,24.0,178.0,77.0,Belize,BIZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,
Jorge Luis Aguilera Ruiz,M,26.0,172.0,64.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Gustavo Hernando Aguirre,M,23.0,185.0,75.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,
Jorge S. Aguirre Martin,M,,,,Mexico,MEX,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
Albert Agyemang,M,18.0,169.0,70.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,
Albert Agyemang,M,18.0,169.0,70.0,Ghana,GHA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,
Albert Agyemang,M,22.0,169.0,70.0,Ghana,GHA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,
"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,
"Timothy Joseph ""Tim"" Ahearne",M,22.0,170.0,57.0,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Long Jump,
"Michael Kofi ""Mike"" Ahey",M,24.0,196.0,72.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,
"Michael Kofi ""Mike"" Ahey",M,24.0,196.0,72.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,
"Michael Kofi ""Mike"" Ahey",M,24.0,196.0,72.0,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Long Jump,
"Michael Kofi ""Mike"" Ahey",M,28.0,196.0,72.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,
"Michael Kofi ""Mike"" Ahey",M,28.0,196.0,72.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,
"Michael Kofi ""Mike"" Ahey",M,28.0,196.0,72.0,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,
"Michael Kofi ""Mike"" Ahey",M,32.0,196.0,72.0,Ghana,GHA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,
Toivo Eemil Ahjopalo (Andelin-),M,23.0,174.0,69.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,
Toivo Eemil Ahjopalo (Andelin-),M,23.0,174.0,69.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,
Bashir Ahmad,M,21.0,175.0,65.0,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,
